year,globalaveragetemp,cityaveragetemp
1775,9.18,10.10
1776,8.30,9.21
1777,8.26,9.25
1778,8.54,9.80
1779,8.98,10.76
1780,9.43,9.67
1781,8.10,10.41
1782,7.90,8.44
1783,7.68,9.97
1784,7.86,8.29
1785,7.36,8.54
1786,8.26,8.35
1787,8.03,9.53
1788,8.45,9.39
1789,8.33,9.12
1790,7.98,9.67
1791,8.23,9.59
1792,8.09,9.56
1793,8.23,9.59
1794,8.53,10.00
1795,8.35,9.19
1796,8.27,9.50
1797,8.51,9.62
1798,8.67,9.83
1799,8.51,7.94
1800,8.48,9.32
1801,8.59,9.68
1802,8.58,9.31
1803,8.50,8.79
1804,8.84,9.37
1805,8.56,8.56
1806,8.43,9.87
1807,8.28,9.03
1808,7.63,8.91
1809,7.08,8.99
1810,6.92,8.97
1811,6.86,10.10
1812,7.05,8.58
1813,7.74,9.13
1814,7.59,7.93
1815,7.24,8.99
1816,6.94,7.98
1817,6.98,8.95
1818,7.83,9.88
1819,7.37,9.58
1820,7.62,8.61
1821,8.09,9.63
1822,8.19,10.36
1823,7.72,8.80
1824,8.55,9.65
1825,8.39,9.98
1826,8.36,10.12
1827,8.81,9.37
1828,8.17,10.10
1829,7.94,7.95
1830,8.52,8.78
1831,7.64,10.01
1832,7.45,9.24
1833,8.01,9.40
1834,8.15,10.59
1835,7.39,9.48
1836,7.70,9.04
1837,7.38,8.85
1838,7.51,8.05
1839,7.63,8.89
1840,7.80,8.68
1841,7.69,9.12
1842,8.02,9.43
1843,8.17,9.40
1844,7.65,8.85
1845,7.85,8.46
1846,8.55,10.48
1847,8.09,9.24
1848,7.98,9.52
1849,7.98,9.42
1850,7.90,9.06
1851,8.18,9.17
1852,8.10,9.96
1853,8.04,8.44
1854,8.21,9.30
1855,8.11,8.03
1856,8.00,9.17
1857,7.76,10.21
1858,8.10,9.20
1859,8.25,9.97
1860,7.96,8.17
1861,7.85,9.42
1862,7.56,9.56
1863,8.11,9.90
1864,7.98,8.74
1865,8.18,9.82
1866,8.29,9.69
1867,8.44,9.06
1868,8.25,10.50
1869,8.43,9.46
1870,8.20,8.94
1871,8.12,8.97
1872,8.19,10.07
1873,8.35,9.26
1874,8.43,9.37
1875,7.86,9.43
1876,8.08,9.75
1877,8.54,9.43
1878,8.83,9.47
1879,8.17,7.62
1880,8.12,9.35
1881,8.27,8.71
1882,8.13,9.43
1883,7.98,9.21
1884,7.77,9.86
1885,7.92,8.68
1886,7.95,8.80
1887,7.91,8.39
1888,8.09,8.31
1889,8.32,8.91
1890,7.97,8.86
1891,8.02,8.65
